,Importance
City_الرياض,0.09445008426151823
City_جده,0.08027804494738261
Property Type_سكني,0.06317524264266412
Region_منطقة مكة المكرمه,0.06210985256196238
Region_منطقة حائل,0.042767831085419546
Region_منطقة القصيم,0.03615936028254075
City / District_حفر الباطن/ السلمانية ,0.03470167586048985
City_بقعاء,0.029718149792786676
City_عفيف,0.025196249487568413
City / District_بيش/ الخضراء1 ,0.024619236628773276
City_الخبر,0.0241368391115381
Region_منطقة الحدود الشمالية,0.02248510345936659
City_الدمام,0.021638254949728045
City_طريب,0.021260713676698413
City_المدينة المنورة,0.01906403523294067
Region_منطقة الرياض,0.018491481840706574
Number of Properties,0.017812567429001207
City_تثليت,0.016775871806053267
City_حائل,0.01652401980558198
City_حفر الباطن,0.016079618570397133
Transaction_Month,0.015111063352543214
City_عرعر,0.014874682656991737
City_رنيه,0.014596377023594124
City_مكة المكرمة,0.014383922294002786
City / District_الطائف/ الورود ,0.013970658625701769
City_بيش,0.012671227039664598
Region_منطقة نجران,0.011644632577481492
City_تربه,0.009614126561716813
City / District_الرياض/الرمال,0.009525839913312425
Region_منطقة الجوف,0.00851775193521179
City_المذنب,0.008009421337052878
City / District_عرعر/ غرناطة الشرقي ,0.006661853127136624
City / District_طريب/ خارج حدود الاحياء ,0.005798353376598737
City_البدائع,0.005104584344783444
City_دومة الجندل,0.004904332652833853
City_الطائف,0.004732113294116237
City / District_الطائف/ ضاحية الإسكان ,0.004496066912192755
City_الافلاج,0.004465028522208755
Region_منطقة جازان,0.004402744475156992
City_بريده,0.004168350546311305
City / District_المدينة المنورة/ الصويدرة ,0.004062358481778512
City_الشنان,0.003951815402043608
City_الدرعيه,0.0037985446284834984
City / District_بقعاء/أخرى,0.003514678899972901
City_الاسياح,0.0034385781244187937
City / District_الرياض/النرجس,0.0034269686162092063
City_الغزاله,0.0033470613062997986
City_ضريه,0.0031547816369353406
City / District_تربه/ ضاحية الحائرية ,0.003060013369350127
City_القنفذه,0.003059204650734766
City_حبونا,0.0029944110891991682
City_بيشه,0.0025690187215028706
City / District_محايل عسير/ تية ,0.002561284676294307
City_الدوادمي,0.0024773719466737263
Region_منطقة عسير,0.0024172307864729525
City / District_حبونا/ المنتشر ,0.002303728267280322
City / District_تثليت/ 110  1427  ع  9 ,0.0022142603685165975
City_نجران,0.002146262643133355
City / District_البدائع/ العبدلية ,0.0021234943014952178
City / District_عفيف/ الريان ,0.0020756767171866263
City / District_الدمام/أخرى,0.0020450535759598504
City / District_عفيف/ حى الورود ,0.0019639390512118044
City_الخرمه,0.0019387395687510743
City / District_جده/ الشاطئ ,0.0019157284883845936
City_الروضة,0.0018934916211555655
City / District_تربه/ النسيم ,0.0018867038810218768
City / District_الرياض/العليا,0.0018581231520688345
City_القطيف,0.001811976616005307
City / District_الرياض/العارض,0.0016627506440668079
City_النعيريه,0.0016390867772842661
City / District_جده/ أبحر الشمالية ,0.001575860798249726
City / District_جده/الفردوس,0.0015640065182601574
City / District_حفر الباطن/أخرى,0.001563142051127005
City / District_الدرعيه/ خارج حدود الأحياء ,0.0015328280759463785
City / District_جده/ السلامة ,0.0014987896412183446
City / District_الاسياح/ البعيثة ,0.001480497318161244
City_يدمه,0.0014709371515714852
City / District_الرياض/الياسمين,0.001427508283243116
City / District_الدوادمي/أخرى,0.0013999389019740231
City / District_الغزاله/ الغزالة ,0.0013366375571239061
City / District_الرياض/ المهدية ,0.00114543523912909
City / District_بقعاء/ خارج حدود الاحياء ,0.0011347288052631112
City_موقق,0.0011033877754808197
City / District_حائل/ الودي ,0.0011013932570669413
City_الكهفه,0.0010874847905306684
City / District_جده/ النهضة ,0.0010765503992373093
City_القويعيه,0.0010739347380293897
City_وادي الدواسر,0.0010642267478318042
City / District_الخبر/أخرى,0.0010223617730995263
City_الشماسيه,0.0010130140369151483
City_قرية العليا,0.001003692237911579
City / District_صبياء/ نخلان ,0.0009665549564982337
City / District_جده/البساتين,0.0009650114785148603
City_الزلفي,0.0009646188261729765
City_الرين,0.0009552276523615654
City / District_الرياض/السلى,0.0009309478611949748
City_عقلة الصقور,0.0009017790640759468
City_رفحاء,0.000891720467327612
