,Importance
City_الرياض,0.09272712
City_المدينة المنورة,0.06887014
Region_منطقة مكة المكرمه,0.06182346
City_جده,0.05493476
City_الدمام,0.046795532
City_الخبر,0.042022187
City_حائل,0.029273286
Region_منطقة القصيم,0.026037714
City / District_بيش/ الخضراء1 ,0.02185236
City / District_حفر الباطن/ السلمانية ,0.021664403
City_عفيف,0.021613294
City_مكة المكرمة,0.020704495
Region_منطقة الحدود الشمالية,0.02020314
City_بريده,0.018968279
City_طريب,0.0185188
Region_منطقة حائل,0.01684473
City_رنيه,0.016611973
City_بقعاء,0.015626326
Region_منطقة الرياض,0.015141206
City_تثليت,0.01397949
City_تربه,0.013844575
Region_منطقة نجران,0.012133977
City_حفر الباطن,0.012057554
City / District_الطائف/ الورود ,0.011426385
City_القطيف,0.010116089
City / District_الطائف/ ضاحية الإسكان ,0.008747445
City / District_المدينة المنورة/ الصويدرة ,0.008502537
Region_منطقة الجوف,0.008388858
City_الدوادمي,0.007125755
City_الافلاج,0.00691697
City_النعيريه,0.006693453
City / District_محايل عسير/ تية ,0.0065725083
City_القنفذه,0.006511127
City_نجران,0.006341346
City_المذنب,0.0058402508
City_المهد,0.0057414323
City_الدرعيه,0.005636385
City_بيشه,0.0055999327
City_قرية العليا,0.0055561233
City / District_الرياض/الرمال,0.0055459905
City_تيماء,0.0053851195
City_ضريه,0.0053803483
City_الاسياح,0.0051789596
City_الخرمه,0.0050986744
City / District_صبياء/ نخلان ,0.0050366335
City_الحناكية,0.004998185
City_الطائف,0.004669288
City_بيش,0.0046449415
City_الرين,0.004628893
City / District_تربه/ ضاحية الحائرية ,0.0045552896
City_البدائع,0.0044146366
City_المخواة,0.0041254493
City_دومة الجندل,0.004118975
City_القويعيه,0.0041145836
City_وادي الفرع,0.0040972894
City_الشنان,0.0038793737
City_الغزاله,0.0037568952
City_وادي الدواسر,0.0036946272
City / District_حفر الباطن/أخرى,0.003439979
Property Type_سكني,0.0033078769
City_ينبع,0.0032873705
City_محايل عسير,0.0031514275
City / District_حائل/ الودي ,0.0030941807
City_الشماسيه,0.0029721973
City / District_جده/ أبحر الشمالية ,0.0028354835
City_الزلفي,0.0027877535
City_عقلة الصقور,0.002680716
Region_منطقة جازان,0.002674547
City / District_جده/الفردوس,0.0026475212
City_رياض الخبراء,0.002566371
City / District_الرين/أخرى,0.002453101
City / District_الدوادمي/أخرى,0.0024262315
City / District_المخواة/ ناوان ,0.0024088745
City / District_الرياض/العليا,0.0024048977
City / District_النعيريه/أخرى,0.002386227
